4.09859,8.12818,1.05;0.7,0
4.13342,8.1889,1.05;0.7,0
4.16825,8.24962,1.05;0.7,0
4.20308,8.31034,1.05;0.7,-0.6
4.23971,8.36997,0.99;0.7,-0.6
4.27985,8.42731,0.93;0.7,-0.6
4.32336,8.48213,0.87;0.7,-0.6
4.37007,8.53425,0.81;0.7,-0.6
4.41983,8.58347,0.75;0.7,-0.6
4.47245,8.62962,0.69;0.7,-0.6
4.52774,8.67253,0.63;0.7,-0.6
4.5855,8.71205,0.57;0.7,-0.6
4.64553,8.74804,0.51;0.7,-0.6
4.70761,8.78036,0.45;0.7,-0.6
4.77152,8.8089,0.39;0.7,-0.6
4.83702,8.83355,0.33;0.7,-0.6
4.90389,8.85424,0.27;0.7,-0.6
4.97187,8.87087,0.21;0.7,-0.6
5.04073,8.8834,0.15;0.7,-0.6
5.11021,8.89178,0.09;0.7,-0.6
5.18008,8.89598,0.03;0.7,-0.6
5.25007,8.89598,-0.03;0.7,-0.6
5.31993,8.89178,-0.09;0.7,-0.6
5.38942,8.8834,-0.15;0.7,-0.6
5.45828,8.87087,-0.21;0.7,-0.6
5.52626,8.85424,-0.27;0.7,-0.6
5.59312,8.83355,-0.33;0.7,-0.6
5.65863,8.8089,-0.39;0.7,-0.6
5.72253,8.78036,-0.45;0.7,-0.6
5.78461,8.74804,-0.51;0.7,-0.6
5.84464,8.71205,-0.57;0.7,-0.6
5.90241,8.67253,-0.63;0.7,-0.6
5.9577,8.62962,-0.69;0.7,-0.6
6.01032,8.58347,-0.75;0.7,-0.6
6.06007,8.53425,-0.81;0.7,-0.6
6.10679,8.48213,-0.87;0.7,-0.6
6.1503,8.42731,-0.93;0.7,-0.6
6.19044,8.36997,-0.99;0.7,-0.6
6.22707,8.31034,-1.05;0.7,-0.6
6.26005,8.24861,-1.11;0.7,-0.6
6.28928,8.18501,-1.17;0.7,-0.6
6.31464,8.11978,-1.23;0.7,-0.6
6.33605,8.05314,-1.29;0.7,-0.6
6.35342,7.98534,-1.35;0.7,-0.6
6.36669,7.91662,-1.41;0.7,-0.6
6.37582,7.84723,-1.47;0.7,-0.6
6.38077,7.77742,-1.53;0.7,-0.6
6.38152,7.70743,-1.59;0.7,-0.6
6.37808,7.63753,-1.65;0.7,-0.6
6.37045,7.56796,-1.71;0.7,-0.6
6.35867,7.49897,-1.77;0.7,-0.6
6.34277,7.43081,-1.83;0.7,-0.6
6.32281,7.36372,-1.89;0.7,-0.6
6.29886,7.29796,-1.95;0.7,-0.6
6.27101,7.23375,-2.01;0.7,-0.6
6.23936,7.17132,-2.07;0.7,-0.6
6.20403,7.11091,-2.13;0.7,-0.6
6.16514,7.05272,-2.19;0.7,-0.6
6.12282,6.99697,-2.25;0.7,-0.6
6.07725,6.94385,-2.31;0.7,-0.6
6.02856,6.89357,-2.37;0.7,-0.6
5.97695,6.84629,-2.43;0.7,-0.6
5.9226,6.8022,-2.49;0.7,-0.6
5.8657,6.76144,-2.55;0.7,-0.6
5.80646,6.72417,-2.61;0.7,-0.6
5.7451,6.69052,-2.67;0.7,-0.6
5.68182,6.6606,-2.73;0.7,-0.6
5.61686,6.63454,-2.79;0.7,-0.6
5.55046,6.61242,-2.85;0.7,-0.6
5.48286,6.59432,-2.91;0.7,-0.6
5.41428,6.5803,-2.97;0.7,-0.6
5.34499,6.57043,-3.03;0.7,-0.6
5.27524,6.56472,-3.09;0.7,-0.6
5.20526,6.56321,3.13319;0.7,-0.6
5.13533,6.5659,3.07319;0.7,-0.6
5.06568,6.57277,3.01319;0.7,0.6
4.99602,6.57965,3.07319;0.7,0.6
4.92609,6.58234,3.13319;0.7,0.6
4.85611,6.58083,-3.09;0.7,0.6
4.78636,6.57512,-3.03;0.7,0.6
4.71707,6.56525,-2.97;0.7,0.6
4.6485,6.55123,-2.91;0.7,0.6
4.58089,6.53313,-2.85;0.7,0.6
4.51449,6.51101,-2.79;0.7,0.6
